year,state,urbanization,race,agegroups,deaths,population,unemprate,incometax,minwage,cpi,divorcerate,mortgagerate,gunscore,mentalhealth
2005,Alabama,Urban,Black or African American,15-24,10,43799,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,35-44,13,52004,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,45-54,14,56967,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,15-24,11,95583,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,25-34,21,94518,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,35-44,11,114295,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Rural,White,35-44,20,61237,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Rural,White,45-54,10,65041,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,35-44,27,123948,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,45-54,32,129219,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,55-64,26,108736,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,65-74,12,73635,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,45-54,10,57730,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Rural,White,35-44,10,55126,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Rural,White,45-54,11,57290,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,35-44,10,59541,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,55-64,16,90166,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,25-34,17,108076,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,45-54,27,115022,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alabama,Urban,White,15-24,16,139110,4.5,5,0,195.292,3.5999999,5.87,96.14,0.2809
2005,Alaska,Urban,White,35-44,11,43031,6.9,0,7.15,195.292,3.5999999,5.87,122.9,0.2413
2005,Alaska,Rural,American Indian or Alaska Native,35-44,5000,8828,6.9,0,7.15,195.292,3.5999999,5.87,122.9,0.2413
2005,Alaska,Rural,American Indian or Alaska Native,15-24,15,13355,6.9,0,7.15,195.292,3.5999999,5.87,122.9,0.2413
2005,Alaska,Urban,White,45-54,13,47615,6.9,0,7.15,195.292,3.5999999,5.87,122.9,0.2413
2005,Arizona,Urban,White,15-24,79,437228,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,55-64,26,96841,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,25-34,82,466265,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,85+,15,46263,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,15-24,17,99107,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,25-34,22,76440,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,45-54,30,101655,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,75-84,12,46477,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,45-54,91,402549,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,65-74,26,77747,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,35-44,25,87487,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,35-44,96,458644,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,25-34,20,105219,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,55-64,53,305308,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,65-74,29,197825,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,75-84,32,139350,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,15-24,15,118319,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,35-44,27,106168,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,45-54,37,115101,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,55-64,17,93686,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arizona,Urban,White,75-84,18,45171,4.7,2.87,0,195.292,3.5999999,5.87,119.26,0.1804
2005,Arkansas,Rural,White,45-54,10,64024,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,45-54,13,39721,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,15-24,20,142041,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,25-34,27,141940,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,45-54,16,70269,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,25-34,13,53844,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,35-44,12,65721,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,25-34,12,55386,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,15-24,12,61000,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,35-44,20,61395,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,55-64,22,108287,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,35-44,35,145166,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Urban,White,45-54,35,140030,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,Arkansas,Rural,White,55-64,13,66859,5.3,3.5,5.15,195.292,3.5999999,5.87,81.12,0.1061
2005,California,Urban,Asian or Pacific Islander,45-54,37,541460,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Asian or Pacific Islander,35-44,36,611746,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,25-34,52,455650,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Asian or Pacific Islander,55-64,27,352760,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Asian or Pacific Islander,25-34,38,644705,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Black or African American,15-24,21,301340,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,65-74,30,210058,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,35-44,76,555067,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Asian or Pacific Islander,75-84,18,129833,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,15-24,52,515377,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,85+,25,80571,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Black or African American,45-54,19,253340,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,45-54,91,534332,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,55-64,48,374188,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,25-34,184,2537726,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,35-44,293,2618917,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Black or African American,55-64,12,158504,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,15-24,179,2436039,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Black or African American,35-44,23,287902,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,45-54,123,742160,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Black or African American,25-34,20,258488,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,75-84,36,148468,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,Asian or Pacific Islander,15-24,18,530135,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Rural,White,65-74,10,24008,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,15-24,14,157373,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Rural,White,55-64,13,70229,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,25-34,12,122742,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,35-44,28,133592,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,45-54,26,135936,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,45-54,355,2267108,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,65-74,13,65450,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,85+,16,56211,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,25-34,78,711768,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,55-64,89,517310,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,65-74,35,295917,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,75-84,34,214829,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
2005,California,Urban,White,85+,50,253571,5.4,2,6.75,195.292,3.5999999,5.87,24.06,0.3023
